date,data,stationary,det_lin_up,det_lin_down,det_quad,det_cubic,det_exp,det_damped,stoc_trend,volatility,single_seas,multiple_seas,point_anom_single,point_anom_multi,collect_anom,context_anom,mean_shift,var_shift,trend_shift,point_anom_count,point_anom_location,point_anom_point,collect_anom_count,collect_anom_location,collect_anom_start,collect_anom_end,context_anom_start,context_anom_end,mean_shift_count,mean_shift_location,mean_shift_point,variance_shift_count,variance_shift_location,variance_shift_points,trend_shift_count,trend_shift_location,trend_shift_points,trend_shift_type,is_multi_characteristic,characteristic_1_type,characteristic_2_type,is_point_anomaly_active,is_collective_anomaly_active,is_contextual_anomaly_active,is_mean_shift_active,is_variance_shift_active,is_trend_shift_active,is_linear_trend_active,is_quadratic_trend_active,is_cubic_trend_active,is_exponential_trend_active,is_damped_trend_active,is_single_seasonality_active,is_multiple_seasonality_active,is_seasonal_base_active,is_stochastic_base_active,is_volatility_base_active
2020-01-01,1.735254831734968,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,"[12, 20, 75, 279, 331]","[12, 20, 75, 279, 331]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-02,1.7264151842723985,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,"[12, 20, 75, 279, 331]","[12, 20, 75, 279, 331]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-03,1.7169330062686265,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,"[12, 20, 75, 279, 331]","[12, 20, 75, 279, 331]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-04,1.710290772601207,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,"[12, 20, 75, 279, 331]","[12, 20, 75, 279, 331]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-05,1.6844414594364383,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,"[12, 20, 75, 279, 331]","[12, 20, 75, 279, 331]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-06,1.6963122904155328,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,"[12, 20, 75, 279, 331]","[12, 20, 75, 279, 331]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-07,1.6914889111520366,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,"[12, 20, 75, 279, 331]","[12, 20, 75, 279, 331]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-08,1.6791765153140055,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,"[12, 20, 75, 279, 331]","[12, 20, 75, 279, 331]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-09,1.6736510477092414,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,"[12, 20, 75, 279, 331]","[12, 20, 75, 279, 331]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-10,1.6572559574599914,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,"[12, 20, 75, 279, 331]","[12, 20, 75, 279, 331]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
