date,data,stationary,det_lin_up,det_lin_down,det_quad,det_cubic,det_exp,det_damped,stoc_trend,volatility,single_seas,multiple_seas,point_anom_single,point_anom_multi,collect_anom,context_anom,mean_shift,var_shift,trend_shift,point_anom_count,point_anom_location,point_anom_point,collect_anom_count,collect_anom_location,collect_anom_start,collect_anom_end,context_anom_start,context_anom_end,mean_shift_count,mean_shift_location,mean_shift_point,variance_shift_count,variance_shift_location,variance_shift_points,trend_shift_count,trend_shift_location,trend_shift_points,trend_shift_type,is_multi_characteristic,characteristic_1_type,characteristic_2_type,is_point_anomaly_active,is_collective_anomaly_active,is_contextual_anomaly_active,is_mean_shift_active,is_variance_shift_active,is_trend_shift_active,is_linear_trend_active,is_quadratic_trend_active,is_cubic_trend_active,is_exponential_trend_active,is_damped_trend_active,is_single_seasonality_active,is_multiple_seasonality_active,is_seasonal_base_active,is_stochastic_base_active,is_volatility_base_active
2020-01-01,-1.7558391330797627,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[152],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-02,-1.6874794636585357,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[152],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-03,-1.7259829024408677,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[152],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-04,-1.6255954004952546,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[152],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-05,-1.6367695748241566,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[152],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-06,-1.7283129942965962,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[152],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-07,-1.6289632363708362,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[152],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-08,-1.6105079411504517,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[152],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-09,-1.5944223939843287,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[152],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-10,-1.4772297044108007,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[152],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-11,-1.5526263923782544,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[152],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-12,-1.4917661344294812,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[152],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-13,-1.5194711588397565,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[152],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-14,-1.5259925995864125,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[152],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-15,-1.5637356801871587,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[152],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-16,-1.544861889620728,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[152],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-17,-1.5812078467181714,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[152],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-18,-1.5019971579044018,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[152],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-19,-1.504530705013023,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[152],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-20,-1.4370149705088007,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[152],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-21,-1.4301986931475887,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[152],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-22,-1.4330608319851394,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[152],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-23,-1.4211982063719806,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[152],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-24,-1.4946265846843423,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[152],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-25,-1.4911374530522623,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[152],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
