date,data,stationary,det_lin_up,det_lin_down,det_quad,det_cubic,det_exp,det_damped,stoc_trend,volatility,single_seas,multiple_seas,point_anom_single,point_anom_multi,collect_anom,context_anom,mean_shift,var_shift,trend_shift,point_anom_count,point_anom_location,point_anom_point,collect_anom_count,collect_anom_location,collect_anom_start,collect_anom_end,context_anom_start,context_anom_end,mean_shift_count,mean_shift_location,mean_shift_point,variance_shift_count,variance_shift_location,variance_shift_points,trend_shift_count,trend_shift_location,trend_shift_points,trend_shift_type,is_multi_characteristic,characteristic_1_type,characteristic_2_type,is_point_anomaly_active,is_collective_anomaly_active,is_contextual_anomaly_active,is_mean_shift_active,is_variance_shift_active,is_trend_shift_active,is_linear_trend_active,is_quadratic_trend_active,is_cubic_trend_active,is_exponential_trend_active,is_damped_trend_active,is_single_seasonality_active,is_multiple_seasonality_active,is_seasonal_base_active,is_stochastic_base_active,is_volatility_base_active
2020-01-01,-1.6652428987624581,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[209],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-02,-0.5888112615349799,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[209],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-03,0.9392915739741475,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[209],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04,-0.012413683768770768,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[209],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-05,-0.3918809917559141,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[209],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-06,0.3076871114804948,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[209],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-07,-0.27141304700608126,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[209],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-08,0.12875993101166475,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[209],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-09,0.6133325568505261,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[209],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-10,0.723230074638963,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[209],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-11,-1.2558101575021359,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[209],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-12,-1.2907342919632767,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[209],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-13,2.0602425044024164,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[209],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-14,1.1032429035574534,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[209],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-15,-0.3290279586214988,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[209],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-16,-1.2384191693728293,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[209],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-17,0.23512034671114473,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[209],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-18,0.7667219368104708,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[209],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-19,1.8015062947668614,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[209],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-20,-2.319631149085366,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[209],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-21,0.027668018570545627,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[209],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-22,0.18455649978277092,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[209],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-23,0.9717080612160797,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[209],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-24,0.6703636868591296,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[209],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-25,-0.04530063758672673,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[209],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,-0.790259797843286,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[209],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
