date,data,stationary,det_lin_up,det_lin_down,det_quad,det_cubic,det_exp,det_damped,stoc_trend,volatility,single_seas,multiple_seas,point_anom_single,point_anom_multi,collect_anom,context_anom,mean_shift,var_shift,trend_shift,point_anom_count,point_anom_location,point_anom_point,collect_anom_count,collect_anom_location,collect_anom_start,collect_anom_end,context_anom_start,context_anom_end,mean_shift_count,mean_shift_location,mean_shift_point,variance_shift_count,variance_shift_location,variance_shift_points,trend_shift_count,trend_shift_location,trend_shift_points,trend_shift_type,is_multi_characteristic,characteristic_1_type,characteristic_2_type,is_point_anomaly_active,is_collective_anomaly_active,is_contextual_anomaly_active,is_mean_shift_active,is_variance_shift_active,is_trend_shift_active,is_linear_trend_active,is_quadratic_trend_active,is_cubic_trend_active,is_exponential_trend_active,is_damped_trend_active,is_single_seasonality_active,is_multiple_seasonality_active,is_seasonal_base_active,is_stochastic_base_active,is_volatility_base_active
2020-01-01,-1.0041070209863008,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[159],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-02,0.010943498313982874,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[159],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-03,0.9619249234112816,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[159],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-04,1.9650039049514745,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[159],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-05,0.1817063750854039,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[159],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-06,-0.3034263676980747,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[159],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-07,1.2940127306721334,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[159],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-08,0.6746480443895467,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[159],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-09,-0.35819513296533406,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[159],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-10,-0.6260005686780551,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[159],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-11,0.203850228000055,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[159],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-12,-1.9202367784018362,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[159],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-13,-2.9831792742755066,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[159],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-14,-0.9934504188138319,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[159],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-15,-0.14425337607905425,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[159],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-16,1.9612046547955868,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[159],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-17,-0.08701068708774463,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[159],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-18,-0.6536159013674198,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[159],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-19,-0.7643275653779865,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[159],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
