date,data,stationary,det_lin_up,det_lin_down,det_quad,det_cubic,det_exp,det_damped,stoc_trend,volatility,single_seas,multiple_seas,point_anom_single,point_anom_multi,collect_anom,context_anom,mean_shift,var_shift,trend_shift,point_anom_count,point_anom_location,point_anom_point,collect_anom_count,collect_anom_location,collect_anom_start,collect_anom_end,context_anom_start,context_anom_end,mean_shift_count,mean_shift_location,mean_shift_point,variance_shift_count,variance_shift_location,variance_shift_points,trend_shift_count,trend_shift_location,trend_shift_points,trend_shift_type,is_multi_characteristic,characteristic_1_type,characteristic_2_type,is_point_anomaly_active,is_collective_anomaly_active,is_contextual_anomaly_active,is_mean_shift_active,is_variance_shift_active,is_trend_shift_active,is_linear_trend_active,is_quadratic_trend_active,is_cubic_trend_active,is_exponential_trend_active,is_damped_trend_active,is_single_seasonality_active,is_multiple_seasonality_active,is_seasonal_base_active,is_stochastic_base_active,is_volatility_base_active
2020-01-01,1.6981175438432328,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-02,1.6974970970643262,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-03,1.6963852539204536,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-04,1.6900580613563938,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-05,1.6830328618414045,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-06,1.676959540823077,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-07,1.6758483049493567,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-08,1.6667806373920429,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-09,1.6622628031103344,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-10,1.6593395694412278,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-11,1.65042893689817,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-12,1.6490464439459942,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-13,1.64488905104993,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-14,1.6393028672050836,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-15,1.6356382221890378,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-16,1.6295404236291497,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-17,1.6244056275449141,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-18,1.6264207618189734,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-19,1.6113542887336583,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-20,1.6040915933988886,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-21,1.6002506992975776,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-22,1.5907392557125108,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-23,1.5837304868522883,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-24,1.577736270371546,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-25,1.5757886615153955,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-26,1.567441490869731,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-27,1.5649080561379374,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-28,1.5570805854379013,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-29,1.558144831295194,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-30,1.5543787951637311,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-31,1.548121166082158,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-02-01,1.5424416189067778,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-02-02,1.5343235954812682,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-02-03,1.5319841587177716,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-02-04,1.5279359455309165,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-02-05,1.527649358823426,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-02-06,1.5209313274741212,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-02-07,1.515457520554593,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-02-08,1.5043004435545928,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-02-09,1.5082643573026209,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-02-10,1.5003735961422682,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-02-11,1.4939122501366782,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-02-12,1.4872167626710775,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,middle,[315],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
