date,data,stationary,det_lin_up,det_lin_down,det_quad,det_cubic,det_exp,det_damped,stoc_trend,volatility,single_seas,multiple_seas,point_anom_single,point_anom_multi,collect_anom,context_anom,mean_shift,var_shift,trend_shift,point_anom_count,point_anom_location,point_anom_point,collect_anom_count,collect_anom_location,collect_anom_start,collect_anom_end,context_anom_start,context_anom_end,mean_shift_count,mean_shift_location,mean_shift_point,variance_shift_count,variance_shift_location,variance_shift_points,trend_shift_count,trend_shift_location,trend_shift_points,trend_shift_type,is_multi_characteristic,characteristic_1_type,characteristic_2_type,is_point_anomaly_active,is_collective_anomaly_active,is_contextual_anomaly_active,is_mean_shift_active,is_variance_shift_active,is_trend_shift_active,is_linear_trend_active,is_quadratic_trend_active,is_cubic_trend_active,is_exponential_trend_active,is_damped_trend_active,is_single_seasonality_active,is_multiple_seasonality_active,is_seasonal_base_active,is_stochastic_base_active,is_volatility_base_active
2020-01-01,1.737827836507394,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,12,"[10, 22, 47, 89, 115, 134, 151, 182, 186, 193, 231, 311]","[10, 22, 47, 89, 115, 134, 151, 182, 186, 193, 231, 311]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-02,1.72832946437613,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,12,"[10, 22, 47, 89, 115, 134, 151, 182, 186, 193, 231, 311]","[10, 22, 47, 89, 115, 134, 151, 182, 186, 193, 231, 311]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-03,1.7127309682399148,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,12,"[10, 22, 47, 89, 115, 134, 151, 182, 186, 193, 231, 311]","[10, 22, 47, 89, 115, 134, 151, 182, 186, 193, 231, 311]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-04,1.7031056698366265,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,12,"[10, 22, 47, 89, 115, 134, 151, 182, 186, 193, 231, 311]","[10, 22, 47, 89, 115, 134, 151, 182, 186, 193, 231, 311]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-05,1.6934835718317554,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,12,"[10, 22, 47, 89, 115, 134, 151, 182, 186, 193, 231, 311]","[10, 22, 47, 89, 115, 134, 151, 182, 186, 193, 231, 311]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-06,1.6847226683431937,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,12,"[10, 22, 47, 89, 115, 134, 151, 182, 186, 193, 231, 311]","[10, 22, 47, 89, 115, 134, 151, 182, 186, 193, 231, 311]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-07,1.6834110553930632,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,12,"[10, 22, 47, 89, 115, 134, 151, 182, 186, 193, 231, 311]","[10, 22, 47, 89, 115, 134, 151, 182, 186, 193, 231, 311]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-08,1.6633766220806616,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,12,"[10, 22, 47, 89, 115, 134, 151, 182, 186, 193, 231, 311]","[10, 22, 47, 89, 115, 134, 151, 182, 186, 193, 231, 311]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-09,1.652167492878171,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,12,"[10, 22, 47, 89, 115, 134, 151, 182, 186, 193, 231, 311]","[10, 22, 47, 89, 115, 134, 151, 182, 186, 193, 231, 311]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-10,1.6365422301678691,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,12,"[10, 22, 47, 89, 115, 134, 151, 182, 186, 193, 231, 311]","[10, 22, 47, 89, 115, 134, 151, 182, 186, 193, 231, 311]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-11,5.789922236591426,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,12,"[10, 22, 47, 89, 115, 134, 151, 182, 186, 193, 231, 311]","[10, 22, 47, 89, 115, 134, 151, 182, 186, 193, 231, 311]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-12,1.613498243654088,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,12,"[10, 22, 47, 89, 115, 134, 151, 182, 186, 193, 231, 311]","[10, 22, 47, 89, 115, 134, 151, 182, 186, 193, 231, 311]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-13,1.605411285205412,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,12,"[10, 22, 47, 89, 115, 134, 151, 182, 186, 193, 231, 311]","[10, 22, 47, 89, 115, 134, 151, 182, 186, 193, 231, 311]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-14,1.6012161450328901,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,12,"[10, 22, 47, 89, 115, 134, 151, 182, 186, 193, 231, 311]","[10, 22, 47, 89, 115, 134, 151, 182, 186, 193, 231, 311]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-15,1.5841950610428062,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,12,"[10, 22, 47, 89, 115, 134, 151, 182, 186, 193, 231, 311]","[10, 22, 47, 89, 115, 134, 151, 182, 186, 193, 231, 311]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-16,1.5654084624455615,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,12,"[10, 22, 47, 89, 115, 134, 151, 182, 186, 193, 231, 311]","[10, 22, 47, 89, 115, 134, 151, 182, 186, 193, 231, 311]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-17,1.562366457472546,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,12,"[10, 22, 47, 89, 115, 134, 151, 182, 186, 193, 231, 311]","[10, 22, 47, 89, 115, 134, 151, 182, 186, 193, 231, 311]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-01-18,1.5544959602652337,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,12,"[10, 22, 47, 89, 115, 134, 151, 182, 186, 193, 231, 311]","[10, 22, 47, 89, 115, 134, 151, 182, 186, 193, 231, 311]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
