date,data,stationary,det_lin_up,det_lin_down,det_quad,det_cubic,det_exp,det_damped,stoc_trend,volatility,single_seas,multiple_seas,point_anom_single,point_anom_multi,collect_anom,context_anom,mean_shift,var_shift,trend_shift,point_anom_count,point_anom_location,point_anom_point,collect_anom_count,collect_anom_location,collect_anom_start,collect_anom_end,context_anom_start,context_anom_end,mean_shift_count,mean_shift_location,mean_shift_point,variance_shift_count,variance_shift_location,variance_shift_points,trend_shift_count,trend_shift_location,trend_shift_points,trend_shift_type,is_multi_characteristic,characteristic_1_type,characteristic_2_type,is_point_anomaly_active,is_collective_anomaly_active,is_contextual_anomaly_active,is_mean_shift_active,is_variance_shift_active,is_trend_shift_active,is_linear_trend_active,is_quadratic_trend_active,is_cubic_trend_active,is_exponential_trend_active,is_damped_trend_active,is_single_seasonality_active,is_multiple_seasonality_active,is_seasonal_base_active,is_stochastic_base_active,is_volatility_base_active
2020-01-01,2.013191989450516,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,end,[257],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-02,0.09352583138191692,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,end,[257],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-03,0.14038830298258953,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,end,[257],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-04,-0.48815732340281576,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,end,[257],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-05,0.13734275016880335,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,end,[257],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-06,1.1761789829054523,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,end,[257],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-07,1.1961406085113786,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,end,[257],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-08,0.22572504522035383,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,end,[257],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-09,1.4045543943864283,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,end,[257],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-10,1.595516965302399,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,end,[257],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-11,0.9534228029096545,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,end,[257],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-12,0.9288332170603719,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,end,[257],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-13,3.358639259270122,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,end,[257],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-14,1.7276256406870367,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,end,[257],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-15,-1.038298463159759,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,end,[257],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-16,2.06669575767102,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,end,[257],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-17,-0.5823525567682647,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,end,[257],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-18,2.2325624462450318,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,end,[257],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-19,-0.9196775615991887,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,end,[257],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-20,0.44141834235530697,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,end,[257],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-21,-0.6503096659703277,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,end,[257],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-22,1.9026638558993227,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,end,[257],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-23,-0.07080103004193769,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,end,[257],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-24,-0.0756118043745621,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,end,[257],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-25,0.1193606853943764,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,end,[257],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-26,1.884475167454152,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,end,[257],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-27,-0.07751701288025513,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,end,[257],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-28,1.8363951452662772,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,end,[257],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-29,0.058919465099841896,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,end,[257],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-30,0.47682741895363134,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,end,[257],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-31,1.4457780255266335,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,end,[257],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-02-01,0.8457069541710275,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,end,[257],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
