date,data,stationary,det_lin_up,det_lin_down,det_quad,det_cubic,det_exp,det_damped,stoc_trend,volatility,single_seas,multiple_seas,point_anom_single,point_anom_multi,collect_anom,context_anom,mean_shift,var_shift,trend_shift,point_anom_count,point_anom_location,point_anom_point,collect_anom_count,collect_anom_location,collect_anom_start,collect_anom_end,context_anom_start,context_anom_end,mean_shift_count,mean_shift_location,mean_shift_point,variance_shift_count,variance_shift_location,variance_shift_points,trend_shift_count,trend_shift_location,trend_shift_points,trend_shift_type,is_multi_characteristic,characteristic_1_type,characteristic_2_type,is_point_anomaly_active,is_collective_anomaly_active,is_contextual_anomaly_active,is_mean_shift_active,is_variance_shift_active,is_trend_shift_active,is_linear_trend_active,is_quadratic_trend_active,is_cubic_trend_active,is_exponential_trend_active,is_damped_trend_active,is_single_seasonality_active,is_multiple_seasonality_active,is_seasonal_base_active,is_stochastic_base_active,is_volatility_base_active
2020-01-01,-0.3482926231636516,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,middle,134,0,none,,0,none,,none,1,Quadratic Trend,Mean Shift,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2020-01-02,-2.322295582300633,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,middle,134,0,none,,0,none,,none,1,Quadratic Trend,Mean Shift,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2020-01-03,-1.2402061384618328,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,middle,134,0,none,,0,none,,none,1,Quadratic Trend,Mean Shift,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2020-01-04,-0.6382042830233007,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,middle,134,0,none,,0,none,,none,1,Quadratic Trend,Mean Shift,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2020-01-05,-0.44867928785147976,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,middle,134,0,none,,0,none,,none,1,Quadratic Trend,Mean Shift,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2020-01-06,-1.1093957706229816,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,middle,134,0,none,,0,none,,none,1,Quadratic Trend,Mean Shift,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2020-01-07,-1.4104224051617662,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,middle,134,0,none,,0,none,,none,1,Quadratic Trend,Mean Shift,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2020-01-08,-1.1728131321159643,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,middle,134,0,none,,0,none,,none,1,Quadratic Trend,Mean Shift,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2020-01-09,-0.9068468606694461,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,middle,134,0,none,,0,none,,none,1,Quadratic Trend,Mean Shift,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2020-01-10,-1.1805283446601307,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,middle,134,0,none,,0,none,,none,1,Quadratic Trend,Mean Shift,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2020-01-11,-0.26690832416519195,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,middle,134,0,none,,0,none,,none,1,Quadratic Trend,Mean Shift,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2020-01-12,-0.6606628488541222,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,middle,134,0,none,,0,none,,none,1,Quadratic Trend,Mean Shift,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2020-01-13,-1.601917923451466,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,middle,134,0,none,,0,none,,none,1,Quadratic Trend,Mean Shift,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2020-01-14,-1.614345561838017,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,middle,134,0,none,,0,none,,none,1,Quadratic Trend,Mean Shift,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2020-01-15,-0.6338831203858617,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,middle,134,0,none,,0,none,,none,1,Quadratic Trend,Mean Shift,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2020-01-16,-1.1434771924143625,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,middle,134,0,none,,0,none,,none,1,Quadratic Trend,Mean Shift,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2020-01-17,-1.1629466260000436,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,middle,134,0,none,,0,none,,none,1,Quadratic Trend,Mean Shift,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2020-01-18,-1.5963283286160914,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,middle,134,0,none,,0,none,,none,1,Quadratic Trend,Mean Shift,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2020-01-19,-0.5612450321519503,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,middle,134,0,none,,0,none,,none,1,Quadratic Trend,Mean Shift,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2020-01-20,-1.3787289962482885,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,middle,134,0,none,,0,none,,none,1,Quadratic Trend,Mean Shift,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2020-01-21,-1.2468544130082635,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,middle,134,0,none,,0,none,,none,1,Quadratic Trend,Mean Shift,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
