date,data,stationary,det_lin_up,det_lin_down,det_quad,det_cubic,det_exp,det_damped,stoc_trend,volatility,single_seas,multiple_seas,point_anom_single,point_anom_multi,collect_anom,context_anom,mean_shift,var_shift,trend_shift,point_anom_count,point_anom_location,point_anom_point,collect_anom_count,collect_anom_location,collect_anom_start,collect_anom_end,context_anom_start,context_anom_end,mean_shift_count,mean_shift_location,mean_shift_point,variance_shift_count,variance_shift_location,variance_shift_points,trend_shift_count,trend_shift_location,trend_shift_points,trend_shift_type,is_multi_characteristic,characteristic_1_type,characteristic_2_type,is_point_anomaly_active,is_collective_anomaly_active,is_contextual_anomaly_active,is_mean_shift_active,is_variance_shift_active,is_trend_shift_active,is_linear_trend_active,is_quadratic_trend_active,is_cubic_trend_active,is_exponential_trend_active,is_damped_trend_active,is_single_seasonality_active,is_multiple_seasonality_active,is_seasonal_base_active,is_stochastic_base_active,is_volatility_base_active
2020-01-01,-1.1721962206393002,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-02,-0.3509586809901572,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-03,-0.4131703239924029,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04,0.46944727738613173,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-05,1.616149059555141,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-06,-1.0718083451843774,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-07,0.8043059098388109,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-08,1.1547652681776397,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-09,-0.915915910176559,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-10,1.261381426760354,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-11,-0.32214932259633083,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-12,-0.5894061169079429,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-13,0.5860409208105481,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-14,-1.1671015449009847,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-15,0.7675186589876112,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-16,0.9574519418195241,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-17,1.0781311964716211,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-18,-1.5754463567739954,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-19,-0.4957804740166337,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-20,0.44681803507499523,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-21,-1.2665751135313845,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-22,1.3729086094781353,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-23,-1.223502270837578,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-24,0.5716850002070023,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-25,1.5328012043884869,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,-0.027100726575633227,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-27,1.7641371093991463,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-28,-0.8064197942417263,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-29,0.9298083413995962,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-30,-0.029881241655479892,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-31,2.4433002336322613,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,-0.7175531738802996,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,-0.7877860819693469,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,0.8219953353611664,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04,0.9324557606907067,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05,0.7650768088064575,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06,-0.8114357700440205,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-07,0.6538526160332496,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-08,-1.05944923736704,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-09,0.5570414853439226,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-10,0.4310100988140994,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-11,0.4532941535832333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-12,-1.004600461923089,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-13,-0.4431497385398255,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-14,0.5773882505218496,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-15,1.1083852860649934,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-16,0.07890927414515547,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-17,0.5393567086479841,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-18,-0.25594585107240186,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-19,-0.7124796004286019,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,end,[171],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
