date,data,stationary,det_lin_up,det_lin_down,det_quad,det_cubic,det_exp,det_damped,stoc_trend,volatility,single_seas,multiple_seas,point_anom_single,point_anom_multi,collect_anom,context_anom,mean_shift,var_shift,trend_shift,point_anom_count,point_anom_location,point_anom_point,collect_anom_count,collect_anom_location,collect_anom_start,collect_anom_end,context_anom_start,context_anom_end,mean_shift_count,mean_shift_location,mean_shift_point,variance_shift_count,variance_shift_location,variance_shift_points,trend_shift_count,trend_shift_location,trend_shift_points,trend_shift_type,is_multi_characteristic,characteristic_1_type,characteristic_2_type,is_point_anomaly_active,is_collective_anomaly_active,is_contextual_anomaly_active,is_mean_shift_active,is_variance_shift_active,is_trend_shift_active,is_linear_trend_active,is_quadratic_trend_active,is_cubic_trend_active,is_exponential_trend_active,is_damped_trend_active,is_single_seasonality_active,is_multiple_seasonality_active,is_seasonal_base_active,is_stochastic_base_active,is_volatility_base_active
2020-01-01,0.07607051438925885,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,"[1, 162, 166]","[1, 162, 166]",0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomalies,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-02,-4.810010123501562,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,"[1, 162, 166]","[1, 162, 166]",0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomalies,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-03,-0.6467628716569026,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,"[1, 162, 166]","[1, 162, 166]",0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomalies,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04,0.048740445353801114,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,"[1, 162, 166]","[1, 162, 166]",0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomalies,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-05,0.6521569734336714,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,"[1, 162, 166]","[1, 162, 166]",0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomalies,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-06,0.672396514278458,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,"[1, 162, 166]","[1, 162, 166]",0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomalies,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-07,0.2705420173873653,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,"[1, 162, 166]","[1, 162, 166]",0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomalies,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-08,-0.42294336909010927,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,"[1, 162, 166]","[1, 162, 166]",0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomalies,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-09,-1.1289365396495548,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,"[1, 162, 166]","[1, 162, 166]",0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomalies,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-10,-1.255170970743607,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,"[1, 162, 166]","[1, 162, 166]",0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomalies,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-11,-0.019167955190668766,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,"[1, 162, 166]","[1, 162, 166]",0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomalies,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-12,0.9184820316469242,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,"[1, 162, 166]","[1, 162, 166]",0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomalies,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-13,0.46486529848068275,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,"[1, 162, 166]","[1, 162, 166]",0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomalies,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-14,0.33732236372681423,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,"[1, 162, 166]","[1, 162, 166]",0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomalies,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-15,0.7261753623400232,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,"[1, 162, 166]","[1, 162, 166]",0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomalies,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-16,0.9297927457316019,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,"[1, 162, 166]","[1, 162, 166]",0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomalies,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-17,0.11203256781040989,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,"[1, 162, 166]","[1, 162, 166]",0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomalies,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-18,-1.0840650098463076,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,"[1, 162, 166]","[1, 162, 166]",0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomalies,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
