date,data,stationary,det_lin_up,det_lin_down,det_quad,det_cubic,det_exp,det_damped,stoc_trend,volatility,single_seas,multiple_seas,point_anom_single,point_anom_multi,collect_anom,context_anom,mean_shift,var_shift,trend_shift,point_anom_count,point_anom_location,point_anom_point,collect_anom_count,collect_anom_location,collect_anom_start,collect_anom_end,context_anom_start,context_anom_end,mean_shift_count,mean_shift_location,mean_shift_point,variance_shift_count,variance_shift_location,variance_shift_points,trend_shift_count,trend_shift_location,trend_shift_points,trend_shift_type,is_multi_characteristic,characteristic_1_type,characteristic_2_type,is_point_anomaly_active,is_collective_anomaly_active,is_contextual_anomaly_active,is_mean_shift_active,is_variance_shift_active,is_trend_shift_active,is_linear_trend_active,is_quadratic_trend_active,is_cubic_trend_active,is_exponential_trend_active,is_damped_trend_active,is_single_seasonality_active,is_multiple_seasonality_active,is_seasonal_base_active,is_stochastic_base_active,is_volatility_base_active
2020-01-01,-1.5975789839038206,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-02,1.2430721864856227,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-03,1.175549295950366,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-04,1.242426855397296,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-05,-1.1722400483711384,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-06,-0.45355367723881596,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-07,-0.5466831898635083,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-08,-0.49697521368446823,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-09,1.960386042683582,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-10,-0.5271502461871241,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-11,2.2269681622038555,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-12,0.017331737373766472,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-13,-0.051684206890180294,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-14,0.09758729235441975,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-15,-0.7188989069620801,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-16,-1.3850440798374417,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-17,0.6461044784916858,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-18,0.8263724775278706,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-19,-0.3460359377490302,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-20,-0.334471550414913,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-21,1.0534029716478095,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-22,0.10409331199273543,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-23,0.06763187416021452,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-24,-0.3575887541501176,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-25,0.2185150850814792,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-26,0.17126129864109507,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-27,0.5619010319191693,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-28,-0.7374446106754194,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-29,0.07843539846296159,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-30,0.18939864026929015,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-31,0.9297997462590777,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-01,2.371947793425406,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-02,0.12629014205935113,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-03,0.514424934301501,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-04,-2.1029494379782343,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-05,-0.9174854633046775,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-06,-0.49212617579336737,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-07,0.42199491121367694,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-08,-0.5871042472991933,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-09,0.3080898544215846,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-10,-0.7687600323061203,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-11,0.21340434385033935,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-12,0.0748858229034756,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-13,-0.4651504383315462,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-14,-0.5039171439057798,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-15,-1.0809667844045405,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-16,0.0507392037646164,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-17,1.3121953604163215,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-18,-0.3997281613329512,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-19,-1.3424714397891497,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-20,-1.7266107886228794,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-21,-0.7491005975461197,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-22,-1.8951222961076999,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-23,-0.32708419795259824,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-24,0.07059934868531548,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-25,1.115597156517025,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-26,-0.07594173594595231,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-27,-0.30703300376075693,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-28,1.3463864881074303,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-29,-0.27255579121841156,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-01,-0.5206142275924698,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-02,0.24277542579908848,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-03,-0.20858722839656588,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-04,-0.4802320925680014,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-05,-0.9446438017628151,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-06,0.22420751635844816,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-07,-0.6978539136708248,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-08,0.4938765550895916,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-09,-0.2680434655729337,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-10,1.6981561681219899,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-11,-1.5899286484444533,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-12,0.35514170379967164,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-13,-0.2403719405202087,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-14,1.1470041337649077,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,none,,1,end,510,544,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
