date,data,stationary,det_lin_up,det_lin_down,det_quad,det_cubic,det_exp,det_damped,stoc_trend,volatility,single_seas,multiple_seas,point_anom_single,point_anom_multi,collect_anom,context_anom,mean_shift,var_shift,trend_shift,point_anom_count,point_anom_location,point_anom_point,collect_anom_count,collect_anom_location,collect_anom_start,collect_anom_end,context_anom_start,context_anom_end,mean_shift_count,mean_shift_location,mean_shift_point,variance_shift_count,variance_shift_location,variance_shift_points,trend_shift_count,trend_shift_location,trend_shift_points,trend_shift_type,is_multi_characteristic,characteristic_1_type,characteristic_2_type,is_point_anomaly_active,is_collective_anomaly_active,is_contextual_anomaly_active,is_mean_shift_active,is_variance_shift_active,is_trend_shift_active,is_linear_trend_active,is_quadratic_trend_active,is_cubic_trend_active,is_exponential_trend_active,is_damped_trend_active,is_single_seasonality_active,is_multiple_seasonality_active,is_seasonal_base_active,is_stochastic_base_active,is_volatility_base_active
2020-01-01,0.47790477913859203,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-02,0.522729868103356,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-03,-0.09307396736728134,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-04,0.03630016062254532,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-05,-0.7973808332393669,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-06,-0.13696471109548547,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-07,0.32522185086416494,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-08,-0.14981151697608455,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-09,-0.22712649927620354,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-10,-0.2734405034746134,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-11,-0.7260443556588287,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-12,0.3547746538902481,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-13,0.563009772656655,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-14,0.4305788526883922,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-15,-0.6543037915318808,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-16,-0.052791485720520046,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-17,-0.06511082175458499,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-18,0.04703785831573176,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-19,-0.1256244112154791,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-20,0.7879063587039258,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-21,0.00814420569695158,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-22,-0.7570774580613256,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-23,0.16488592336706767,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-24,-0.4560782928006602,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-25,0.04651292577812706,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-26,-0.4384079223246297,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-27,0.730472702810667,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-28,-1.0875676744229985,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-29,-0.006520411635271729,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-30,0.8470301632524774,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-31,0.6616309133662492,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-01,-0.1196007193640938,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-02,1.814686282894228,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-03,1.1460483588532464,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-04,-1.651820603510846,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-05,-0.5276827007107031,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-06,0.827899929419151,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-07,-0.5024827355746018,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-08,-0.12825222358975913,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-09,-0.7286517053440038,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-10,0.14493851015485198,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-11,0.6449746373234729,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-12,-0.16576837942932635,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-13,-0.25905801633930603,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-14,-0.021758908104714304,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-15,-0.2741055569916459,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-16,-1.754843985041491,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-17,-2.581697980239507,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-18,1.2965043188485514,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-19,0.1640629185034813,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-20,0.5494864366465069,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-21,-0.09083120121470588,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-22,-1.8544286435990358,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-23,-1.5048002030668464,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-24,-0.5762031960143313,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-25,1.0783128286776962,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-26,-0.888944026817098,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-27,-0.14397383608725214,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-28,-0.5107379398617388,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-29,0.22219888293769724,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-01,-1.575309743978356,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-02,0.9899798209990666,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-03,-1.4735257677276967,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-04,-1.8375885260608658,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-05,-0.4461125259813848,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-06,0.3789531500742459,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-07,1.0072257245306313,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-08,0.6454135785323892,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-09,1.3891522325116483,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-10,0.12981712303368692,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-11,0.25268594573129727,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-12,0.7320058688521389,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-13,0.3569274407247571,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-14,0.23951260368970032,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-15,0.28223699306819555,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-16,-0.0077461735405647885,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-17,-0.8092253997423033,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-18,0.3382264362933502,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-19,-1.1379271843486516,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-20,-0.14212207931880305,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-21,0.40721130706424224,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-22,0.9896482310265441,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-23,-1.0996461876473649,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-24,-0.5915452838048609,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-25,0.9855187297504934,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-26,-0.3081434741807074,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-27,-0.8537396269693892,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-28,0.07435516638270778,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-29,0.33888609585855883,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-30,-0.334619351367632,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-31,0.09455855607787791,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-04-01,0.05503009412241194,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-04-02,-1.210109800623247,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-04-03,-0.027674632029448584,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-04-04,1.3006349308724203,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-04-05,-0.2765301863089766,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-04-06,-1.0897264263885367,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-04-07,0.42313636509707875,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,end,[290],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
