date,data,stationary,det_lin_up,det_lin_down,det_quad,det_cubic,det_exp,det_damped,stoc_trend,volatility,single_seas,multiple_seas,point_anom_single,point_anom_multi,collect_anom,context_anom,mean_shift,var_shift,trend_shift,point_anom_count,point_anom_location,point_anom_point,collect_anom_count,collect_anom_location,collect_anom_start,collect_anom_end,context_anom_start,context_anom_end,mean_shift_count,mean_shift_location,mean_shift_point,variance_shift_count,variance_shift_location,variance_shift_points,trend_shift_count,trend_shift_location,trend_shift_points,trend_shift_type,is_multi_characteristic,characteristic_1_type,characteristic_2_type,is_point_anomaly_active,is_collective_anomaly_active,is_contextual_anomaly_active,is_mean_shift_active,is_variance_shift_active,is_trend_shift_active,is_linear_trend_active,is_quadratic_trend_active,is_cubic_trend_active,is_exponential_trend_active,is_damped_trend_active,is_single_seasonality_active,is_multiple_seasonality_active,is_seasonal_base_active,is_stochastic_base_active,is_volatility_base_active
2020-01-01,-0.04624555858658251,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-02,0.47580308741534405,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-03,0.6580627500716185,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-04,-2.543016754164529,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-05,-0.9774248274004504,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-06,1.7601366185664518,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-07,0.5599053377055161,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-08,1.2055160984627526,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-09,0.19826501479061978,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-10,0.767957047422655,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-11,-1.158428680927905,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-12,0.36384390611388634,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-13,-0.1924448398355169,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-14,0.47585317442534386,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-15,1.8555181977014665,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-16,0.8615831179120812,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-17,0.09256982089802743,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-18,1.9451747209490966,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-19,-1.4321767266234202,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-20,-0.3608174960692219,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-21,-0.3673540910539593,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-22,0.4211169091314114,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-23,-1.1517774867155333,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-24,-1.4332241006914204,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-25,0.30722647170494155,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-26,-1.0855749745489753,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-27,0.5653429502798352,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-28,-0.8098738750310198,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-29,0.43031437564894076,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-30,0.4663074449489619,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-31,0.14834556628490037,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-01,1.7320049079418285,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-02,0.26840054455844337,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-03,-0.7021226728399532,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-04,1.145089927656078,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-05,-0.32680299470425594,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-06,-2.8270417764370483,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-07,-0.40475615360378414,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-08,-1.1770583979309788,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-09,-0.6529394373262215,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-10,-1.4613547350165161,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-11,-0.5307787828271512,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-12,-1.246093482431093,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-13,-0.06612152428618906,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-14,1.2486954126516159,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-15,0.19040746500301695,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-16,-1.8219381392352767,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-17,1.2919698142001617,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-18,1.4152324275366666,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-19,-0.3411302688216377,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-20,1.2147003699897456,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-21,2.098929396719583,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-22,-1.2903076992792861,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,middle,[400],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
