date,data,stationary,det_lin_up,det_lin_down,det_quad,det_cubic,det_exp,det_damped,stoc_trend,volatility,single_seas,multiple_seas,point_anom_single,point_anom_multi,collect_anom,context_anom,mean_shift,var_shift,trend_shift,point_anom_count,point_anom_location,point_anom_point,collect_anom_count,collect_anom_location,collect_anom_start,collect_anom_end,context_anom_start,context_anom_end,mean_shift_count,mean_shift_location,mean_shift_point,variance_shift_count,variance_shift_location,variance_shift_points,trend_shift_count,trend_shift_location,trend_shift_points,trend_shift_type,is_multi_characteristic,characteristic_1_type,characteristic_2_type,is_point_anomaly_active,is_collective_anomaly_active,is_contextual_anomaly_active,is_mean_shift_active,is_variance_shift_active,is_trend_shift_active,is_linear_trend_active,is_quadratic_trend_active,is_cubic_trend_active,is_exponential_trend_active,is_damped_trend_active,is_single_seasonality_active,is_multiple_seasonality_active,is_seasonal_base_active,is_stochastic_base_active,is_volatility_base_active
2020-01-01,1.8982301078368458,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,none,,0,none,,,0,0,0,none,,1,end,178,0,none,,none,0,Variance Shift,none,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2020-01-02,-0.878185207804344,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,none,,0,none,,,0,0,0,none,,1,end,178,0,none,,none,0,Variance Shift,none,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2020-01-03,-0.9084456482253741,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,none,,0,none,,,0,0,0,none,,1,end,178,0,none,,none,0,Variance Shift,none,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2020-01-04,0.05680071530510487,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,none,,0,none,,,0,0,0,none,,1,end,178,0,none,,none,0,Variance Shift,none,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2020-01-05,2.4566650158888574,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,none,,0,none,,,0,0,0,none,,1,end,178,0,none,,none,0,Variance Shift,none,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2020-01-06,-0.5690363619534531,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,none,,0,none,,,0,0,0,none,,1,end,178,0,none,,none,0,Variance Shift,none,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2020-01-07,-0.12878277032935465,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,none,,0,none,,,0,0,0,none,,1,end,178,0,none,,none,0,Variance Shift,none,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2020-01-08,1.0416844543037491,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,none,,0,none,,,0,0,0,none,,1,end,178,0,none,,none,0,Variance Shift,none,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2020-01-09,-0.05296767882440768,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,none,,0,none,,,0,0,0,none,,1,end,178,0,none,,none,0,Variance Shift,none,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2020-01-10,1.3995641614462533,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,none,,0,none,,,0,0,0,none,,1,end,178,0,none,,none,0,Variance Shift,none,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2020-01-11,0.8180895739901508,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,none,,0,none,,,0,0,0,none,,1,end,178,0,none,,none,0,Variance Shift,none,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2020-01-12,-0.17437577460074055,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,none,,0,none,,,0,0,0,none,,1,end,178,0,none,,none,0,Variance Shift,none,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2020-01-13,0.42156804767681955,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,none,,0,none,,,0,0,0,none,,1,end,178,0,none,,none,0,Variance Shift,none,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2020-01-14,-0.6923444052073652,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,none,,0,none,,,0,0,0,none,,1,end,178,0,none,,none,0,Variance Shift,none,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2020-01-15,1.3627628059859227,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,none,,0,none,,,0,0,0,none,,1,end,178,0,none,,none,0,Variance Shift,none,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2020-01-16,0.6299082605247299,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,none,,0,none,,,0,0,0,none,,1,end,178,0,none,,none,0,Variance Shift,none,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2020-01-17,0.39426501231295846,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,none,,0,none,,,0,0,0,none,,1,end,178,0,none,,none,0,Variance Shift,none,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2020-01-18,2.0057235082075278,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,none,,0,none,,,0,0,0,none,,1,end,178,0,none,,none,0,Variance Shift,none,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2020-01-19,-0.041624657250763246,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,none,,0,none,,,0,0,0,none,,1,end,178,0,none,,none,0,Variance Shift,none,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2020-01-20,0.6329432432347658,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,none,,0,none,,,0,0,0,none,,1,end,178,0,none,,none,0,Variance Shift,none,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2020-01-21,0.7035112192910941,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,none,,0,none,,,0,0,0,none,,1,end,178,0,none,,none,0,Variance Shift,none,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2020-01-22,0.47020509279798545,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,none,,0,none,,,0,0,0,none,,1,end,178,0,none,,none,0,Variance Shift,none,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2020-01-23,0.1440496093854044,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,none,,0,none,,,0,0,0,none,,1,end,178,0,none,,none,0,Variance Shift,none,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
