date,data,stationary,det_lin_up,det_lin_down,det_quad,det_cubic,det_exp,det_damped,stoc_trend,volatility,single_seas,multiple_seas,point_anom_single,point_anom_multi,collect_anom,context_anom,mean_shift,var_shift,trend_shift,point_anom_count,point_anom_location,point_anom_point,collect_anom_count,collect_anom_location,collect_anom_start,collect_anom_end,context_anom_start,context_anom_end,mean_shift_count,mean_shift_location,mean_shift_point,variance_shift_count,variance_shift_location,variance_shift_points,trend_shift_count,trend_shift_location,trend_shift_points,trend_shift_type,is_multi_characteristic,characteristic_1_type,characteristic_2_type,is_point_anomaly_active,is_collective_anomaly_active,is_contextual_anomaly_active,is_mean_shift_active,is_variance_shift_active,is_trend_shift_active,is_linear_trend_active,is_quadratic_trend_active,is_cubic_trend_active,is_exponential_trend_active,is_damped_trend_active,is_single_seasonality_active,is_multiple_seasonality_active,is_seasonal_base_active,is_stochastic_base_active,is_volatility_base_active
2020-01-01,1.7311201663544027,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-02,1.7247223165235297,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-03,1.7257467819945234,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-04,1.7216667589254264,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-05,1.701929633800134,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-06,1.693380193260498,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-07,1.687482880073485,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-08,1.6826253923537748,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-09,1.6964758801363407,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-10,1.6809130294657328,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-11,1.682131741994898,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-12,1.6816759322476615,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-13,1.6582675585124655,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-14,1.6627138156371666,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-15,1.6443361971902122,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-16,1.6571292702920852,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-17,1.6452961458121462,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-18,1.6494673595540694,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-19,1.634373868880497,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-20,1.6381894511817334,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-21,1.623831552664707,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-22,1.631468228426832,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-23,1.6192539403376345,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-24,1.6127943525257313,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-25,1.601438231013801,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-26,1.600488894713029,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-27,1.5931278900024506,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-28,1.5893597901009733,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-29,1.593062943143255,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-30,1.590506283927878,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-31,1.5642262978096435,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-02-01,1.568491307527699,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-02-02,1.5706353468694598,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-02-03,1.5614355261617732,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-02-04,1.5599831699342637,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-02-05,1.5500936403621253,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-02-06,1.5428396432048055,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-02-07,1.5317516784509753,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-02-08,1.5376010949762886,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-02-09,1.5194427638783843,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-02-10,1.5159372342216704,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-02-11,1.514896068106452,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-02-12,1.5075316541633308,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-02-13,1.510223033132118,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-02-14,1.5000265304412432,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-02-15,1.4876131341762657,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-02-16,1.5051593048525518,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-02-17,1.4788815717820591,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-02-18,1.484119166782729,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-02-19,1.4682041584981016,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-02-20,1.4721634228604936,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-02-21,1.4691036547461485,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-02-22,1.463480363726627,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-02-23,1.4525290824898964,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-02-24,1.4633925083401904,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-02-25,1.4523302389748862,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-02-26,1.4484311368089453,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-02-27,1.4348919175504438,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-02-28,1.4336209831393498,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-02-29,1.4285997999925086,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-03-01,1.4214365702912866,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[303],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
