date,data,stationary,det_lin_up,det_lin_down,det_quad,det_cubic,det_exp,det_damped,stoc_trend,volatility,single_seas,multiple_seas,point_anom_single,point_anom_multi,collect_anom,context_anom,mean_shift,var_shift,trend_shift,point_anom_count,point_anom_location,point_anom_point,collect_anom_count,collect_anom_location,collect_anom_start,collect_anom_end,context_anom_start,context_anom_end,mean_shift_count,mean_shift_location,mean_shift_point,variance_shift_count,variance_shift_location,variance_shift_points,trend_shift_count,trend_shift_location,trend_shift_points,trend_shift_type,is_multi_characteristic,characteristic_1_type,characteristic_2_type,is_point_anomaly_active,is_collective_anomaly_active,is_contextual_anomaly_active,is_mean_shift_active,is_variance_shift_active,is_trend_shift_active,is_linear_trend_active,is_quadratic_trend_active,is_cubic_trend_active,is_exponential_trend_active,is_damped_trend_active,is_single_seasonality_active,is_multiple_seasonality_active,is_seasonal_base_active,is_stochastic_base_active,is_volatility_base_active
2020-01-01,-2.0619681266306045,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,none,,1,middle,260,292,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-02,-2.195751509163399,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,none,,1,middle,260,292,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-03,-2.2572449732066473,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,none,,1,middle,260,292,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-04,-2.178826505385227,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,none,,1,middle,260,292,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-05,-2.117376135031345,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,none,,1,middle,260,292,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-06,-2.1890754715997844,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,none,,1,middle,260,292,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-07,-2.2122681586659656,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,none,,1,middle,260,292,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-08,-2.205641606618078,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,none,,1,middle,260,292,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-09,-2.1412407768713675,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,none,,1,middle,260,292,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-10,-1.99070125341428,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,none,,1,middle,260,292,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-11,-2.0395420239436106,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,none,,1,middle,260,292,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-12,-1.8542836014789783,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,none,,1,middle,260,292,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-13,-1.911715095658164,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,none,,1,middle,260,292,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-14,-1.8332662119155587,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,none,,1,middle,260,292,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-15,-1.6874837558380829,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,none,,1,middle,260,292,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-16,-1.680548692187948,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,none,,1,middle,260,292,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-17,-1.6854213793117163,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,none,,1,middle,260,292,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-18,-1.6979968974364124,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,none,,1,middle,260,292,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-19,-1.8272097765845758,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,none,,1,middle,260,292,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-20,-1.8957644925654833,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,none,,1,middle,260,292,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-21,-1.8156264972716882,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,none,,1,middle,260,292,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-22,-1.8093199209329554,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,none,,1,middle,260,292,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-23,-1.8749057605560084,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,none,,1,middle,260,292,0,0,0,none,,0,none,,0,none,,none,0,Collective Anomaly,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
