date,data,stationary,det_lin_up,det_lin_down,det_quad,det_cubic,det_exp,det_damped,stoc_trend,volatility,single_seas,multiple_seas,point_anom_single,point_anom_multi,collect_anom,context_anom,mean_shift,var_shift,trend_shift,point_anom_count,point_anom_location,point_anom_point,collect_anom_count,collect_anom_location,collect_anom_start,collect_anom_end,context_anom_start,context_anom_end,mean_shift_count,mean_shift_location,mean_shift_point,variance_shift_count,variance_shift_location,variance_shift_points,trend_shift_count,trend_shift_location,trend_shift_points,trend_shift_type,is_multi_characteristic,characteristic_1_type,characteristic_2_type,is_point_anomaly_active,is_collective_anomaly_active,is_contextual_anomaly_active,is_mean_shift_active,is_variance_shift_active,is_trend_shift_active,is_linear_trend_active,is_quadratic_trend_active,is_cubic_trend_active,is_exponential_trend_active,is_damped_trend_active,is_single_seasonality_active,is_multiple_seasonality_active,is_seasonal_base_active,is_stochastic_base_active,is_volatility_base_active
2020-01-01,-1.768339946991866,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,17,"[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]","[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-01-02,-1.7363462442708255,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,17,"[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]","[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-01-03,-1.711585383875607,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,17,"[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]","[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-01-04,-1.7444682525967108,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,17,"[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]","[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-01-05,-1.7265082724473042,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,17,"[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]","[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-01-06,-1.7078328773643165,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,17,"[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]","[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-01-07,-1.7103972175915476,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,17,"[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]","[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-01-08,-1.716059175089972,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,17,"[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]","[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-01-09,-1.6778905215390432,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,17,"[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]","[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-01-10,-1.7293200259208976,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,17,"[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]","[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-01-11,-1.6757505457962574,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,17,"[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]","[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-01-12,-1.673090314738979,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,17,"[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]","[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-01-13,-1.7037935053517714,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,17,"[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]","[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-01-14,-1.6763779925162974,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,17,"[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]","[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-01-15,-1.6454308893491945,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,17,"[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]","[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-01-16,-1.6737977368591215,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,17,"[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]","[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-01-17,-1.679588111589455,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,17,"[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]","[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-01-18,-1.6481523469003618,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,17,"[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]","[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-01-19,-1.6802499777460216,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,17,"[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]","[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-01-20,-1.6653107649429915,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,17,"[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]","[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-01-21,-1.6429550521074967,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,17,"[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]","[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-01-22,3.949588994535728,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,17,"[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]","[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-01-23,-1.6352211771419713,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,17,"[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]","[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-01-24,-1.6649896731802554,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,17,"[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]","[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-01-25,-1.607656770198695,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,17,"[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]","[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-01-26,-1.647478455072357,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,17,"[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]","[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-01-27,-1.6463365307956448,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,17,"[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]","[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-01-28,-1.6237680008380406,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,17,"[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]","[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-01-29,-1.595865887883031,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,17,"[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]","[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-01-30,-1.586078907077923,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,17,"[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]","[21, 79, 81, 84, 102, 191, 232, 292, 428, 450, 511, 532, 692, 727, 741, 746, 751]",0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomalies,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
