date,data,stationary,det_lin_up,det_lin_down,det_quad,det_cubic,det_exp,det_damped,stoc_trend,volatility,single_seas,multiple_seas,point_anom_single,point_anom_multi,collect_anom,context_anom,mean_shift,var_shift,trend_shift,point_anom_count,point_anom_location,point_anom_point,collect_anom_count,collect_anom_location,collect_anom_start,collect_anom_end,context_anom_start,context_anom_end,mean_shift_count,mean_shift_location,mean_shift_point,variance_shift_count,variance_shift_location,variance_shift_points,trend_shift_count,trend_shift_location,trend_shift_points,trend_shift_type,is_multi_characteristic,characteristic_1_type,characteristic_2_type,is_point_anomaly_active,is_collective_anomaly_active,is_contextual_anomaly_active,is_mean_shift_active,is_variance_shift_active,is_trend_shift_active,is_linear_trend_active,is_quadratic_trend_active,is_cubic_trend_active,is_exponential_trend_active,is_damped_trend_active,is_single_seasonality_active,is_multiple_seasonality_active,is_seasonal_base_active,is_stochastic_base_active,is_volatility_base_active
2020-01-01,1.288550365331058,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,,436,0,none,,0,none,,none,0,Mean Shift,none,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-02,0.04423124119942567,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,,436,0,none,,0,none,,none,0,Mean Shift,none,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-03,0.8367349347795751,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,,436,0,none,,0,none,,none,0,Mean Shift,none,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-04,0.547772739123282,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,,436,0,none,,0,none,,none,0,Mean Shift,none,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-05,0.31353165018032225,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,,436,0,none,,0,none,,none,0,Mean Shift,none,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-06,0.4853240835211629,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,,436,0,none,,0,none,,none,0,Mean Shift,none,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-07,0.845508244823934,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,,436,0,none,,0,none,,none,0,Mean Shift,none,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-08,0.09570272988184092,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,,436,0,none,,0,none,,none,0,Mean Shift,none,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-09,1.1307508178771843,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,,436,0,none,,0,none,,none,0,Mean Shift,none,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-10,1.658639083630984,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,,436,0,none,,0,none,,none,0,Mean Shift,none,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-11,0.14981935426353152,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,,436,0,none,,0,none,,none,0,Mean Shift,none,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-12,0.5228767603819332,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,,436,0,none,,0,none,,none,0,Mean Shift,none,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-13,0.3739218643855336,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,,436,0,none,,0,none,,none,0,Mean Shift,none,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-14,0.2327476663401145,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,,436,0,none,,0,none,,none,0,Mean Shift,none,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-15,0.6064947312521358,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,,436,0,none,,0,none,,none,0,Mean Shift,none,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-16,0.2895278005583482,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,,436,0,none,,0,none,,none,0,Mean Shift,none,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-17,0.5788059940758814,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,,436,0,none,,0,none,,none,0,Mean Shift,none,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-18,0.9191665174751207,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,,436,0,none,,0,none,,none,0,Mean Shift,none,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-19,0.8812569796851317,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,,436,0,none,,0,none,,none,0,Mean Shift,none,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-20,0.35769351071007244,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,,436,0,none,,0,none,,none,0,Mean Shift,none,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-21,0.8389585151092764,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,,436,0,none,,0,none,,none,0,Mean Shift,none,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-22,1.436790538338253,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,,436,0,none,,0,none,,none,0,Mean Shift,none,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-23,0.3384052588655702,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,,436,0,none,,0,none,,none,0,Mean Shift,none,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-24,1.2783149894141421,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,,436,0,none,,0,none,,none,0,Mean Shift,none,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-25,0.8050536019315289,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,,436,0,none,,0,none,,none,0,Mean Shift,none,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-26,0.7891896117506308,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,,436,0,none,,0,none,,none,0,Mean Shift,none,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-27,0.767085490764157,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,,436,0,none,,0,none,,none,0,Mean Shift,none,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-28,1.2169316583877354,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,,436,0,none,,0,none,,none,0,Mean Shift,none,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-29,0.7051010722759478,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,,436,0,none,,0,none,,none,0,Mean Shift,none,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-30,1.1590892041380692,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,,436,0,none,,0,none,,none,0,Mean Shift,none,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-31,1.9167446778217605,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,,436,0,none,,0,none,,none,0,Mean Shift,none,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2020-02-01,1.237802082680918,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,,436,0,none,,0,none,,none,0,Mean Shift,none,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2020-02-02,-0.03488926518254706,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,none,,0,none,,,0,0,1,,436,0,none,,0,none,,none,0,Mean Shift,none,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
