date,data,stationary,det_lin_up,det_lin_down,det_quad,det_cubic,det_exp,det_damped,stoc_trend,volatility,single_seas,multiple_seas,point_anom_single,point_anom_multi,collect_anom,context_anom,mean_shift,var_shift,trend_shift,point_anom_count,point_anom_location,point_anom_point,collect_anom_count,collect_anom_location,collect_anom_start,collect_anom_end,context_anom_start,context_anom_end,mean_shift_count,mean_shift_location,mean_shift_point,variance_shift_count,variance_shift_location,variance_shift_points,trend_shift_count,trend_shift_location,trend_shift_points,trend_shift_type,is_multi_characteristic,characteristic_1_type,characteristic_2_type,is_point_anomaly_active,is_collective_anomaly_active,is_contextual_anomaly_active,is_mean_shift_active,is_variance_shift_active,is_trend_shift_active,is_linear_trend_active,is_quadratic_trend_active,is_cubic_trend_active,is_exponential_trend_active,is_damped_trend_active,is_single_seasonality_active,is_multiple_seasonality_active,is_seasonal_base_active,is_stochastic_base_active,is_volatility_base_active
2020-01-01,0.8460197934328293,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,end,[180],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-02,0.8459268339368536,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,end,[180],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-03,0.8458691743600625,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,end,[180],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-04,0.8457694162441065,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,end,[180],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-05,0.8457307752483019,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,end,[180],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-06,0.8457578462556391,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,end,[180],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-07,0.8456758130842572,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,end,[180],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-08,0.8453905940927539,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,end,[180],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-09,0.8450514770797941,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,end,[180],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-10,0.8447157866410547,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,end,[180],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-11,0.8443496811211556,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,end,[180],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-12,0.8438399133386897,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,end,[180],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-13,0.8433084971371224,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,end,[180],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-14,0.8427174747210918,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,end,[180],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-15,0.8421859667804743,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,end,[180],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-16,0.8417085429608472,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,end,[180],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-17,0.8410847034089283,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,end,[180],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-18,0.8404989291874208,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,end,[180],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-19,0.839603821322573,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,end,[180],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-20,0.8387477684725587,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,end,[180],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-21,0.8378564986544517,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,end,[180],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-22,0.8369513282944199,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,end,[180],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-23,0.8360845654882315,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,end,[180],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-24,0.8352592307993634,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,end,[180],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-25,0.8344717457523324,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,end,[180],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-26,0.8334934773423508,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,end,[180],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-27,0.8325017415638971,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,end,[180],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
