date,data,stationary,det_lin_up,det_lin_down,det_quad,det_cubic,det_exp,det_damped,stoc_trend,volatility,single_seas,multiple_seas,point_anom_single,point_anom_multi,collect_anom,context_anom,mean_shift,var_shift,trend_shift,point_anom_count,point_anom_location,point_anom_point,collect_anom_count,collect_anom_location,collect_anom_start,collect_anom_end,context_anom_start,context_anom_end,mean_shift_count,mean_shift_location,mean_shift_point,variance_shift_count,variance_shift_location,variance_shift_points,trend_shift_count,trend_shift_location,trend_shift_points,trend_shift_type,is_multi_characteristic,characteristic_1_type,characteristic_2_type,is_point_anomaly_active,is_collective_anomaly_active,is_contextual_anomaly_active,is_mean_shift_active,is_variance_shift_active,is_trend_shift_active,is_linear_trend_active,is_quadratic_trend_active,is_cubic_trend_active,is_exponential_trend_active,is_damped_trend_active,is_single_seasonality_active,is_multiple_seasonality_active,is_seasonal_base_active,is_stochastic_base_active,is_volatility_base_active
2020-01-01,-1.6701641157827576,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[140],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-02,-1.7239806147991743,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[140],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-03,-1.6859060090783327,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[140],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-04,-1.7143542630381863,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[140],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-05,-1.6725412357928802,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[140],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-06,-1.6591193812386111,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[140],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-07,-1.6106938767323022,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[140],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-08,-1.651919154526253,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[140],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-09,-1.6023224778219496,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[140],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-10,-1.584785703385194,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[140],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-11,-1.600426545343136,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[140],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-12,-1.521473171294646,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[140],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-13,-1.525681175139403,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[140],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-14,-1.5359436019002919,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[140],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-15,-1.5461349199346985,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[140],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-16,-1.478059170339744,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[140],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-17,-1.4979222847460592,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[140],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-18,-1.4599684748783048,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[140],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-19,-1.4859515462471333,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[140],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-20,-1.4708689001597588,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[140],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-21,-1.4582170464139539,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[140],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-22,-1.4054203429876093,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[140],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-23,-1.3755597127157704,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[140],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-24,-1.4020563278459959,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[140],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-25,-1.4123409100810296,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[140],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-26,-1.3801612806961507,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[140],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-27,-1.313430992234832,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[140],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-28,-1.320282365560667,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[140],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-29,-1.3710761585197995,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[140],0,none,,,0,0,0,none,,0,none,,0,none,,none,1,Linear Trend,Point Anomaly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
