date,data,stationary,det_lin_up,det_lin_down,det_quad,det_cubic,det_exp,det_damped,stoc_trend,volatility,single_seas,multiple_seas,point_anom_single,point_anom_multi,collect_anom,context_anom,mean_shift,var_shift,trend_shift,point_anom_count,point_anom_location,point_anom_point,collect_anom_count,collect_anom_location,collect_anom_start,collect_anom_end,context_anom_start,context_anom_end,mean_shift_count,mean_shift_location,mean_shift_point,variance_shift_count,variance_shift_location,variance_shift_points,trend_shift_count,trend_shift_location,trend_shift_points,trend_shift_type,is_multi_characteristic,characteristic_1_type,characteristic_2_type,is_point_anomaly_active,is_collective_anomaly_active,is_contextual_anomaly_active,is_mean_shift_active,is_variance_shift_active,is_trend_shift_active,is_linear_trend_active,is_quadratic_trend_active,is_cubic_trend_active,is_exponential_trend_active,is_damped_trend_active,is_single_seasonality_active,is_multiple_seasonality_active,is_seasonal_base_active,is_stochastic_base_active,is_volatility_base_active
2020-01-01,0.13858210922673048,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,beginning,[87],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-02,0.6789938900853593,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,beginning,[87],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-03,1.5613319025825911,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,beginning,[87],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04,0.9410688752596427,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,beginning,[87],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-05,1.1373795102150435,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,beginning,[87],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-06,1.398253847301541,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,beginning,[87],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-07,-0.9891827220296985,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,beginning,[87],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-08,0.5338215248117345,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,beginning,[87],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-09,-0.23885073503523774,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,beginning,[87],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-10,-0.18289020578714582,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,beginning,[87],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-11,-0.45289726737754926,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,beginning,[87],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-12,-0.8384437656019441,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,beginning,[87],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-13,0.5906100441437827,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,beginning,[87],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-14,-0.06381033920343156,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,beginning,[87],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-15,-1.4441535507479657,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,beginning,[87],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-16,-0.30773870884469817,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,beginning,[87],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-17,-0.0963772333445642,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,beginning,[87],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-18,-0.6477445183491392,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,beginning,[87],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-19,-0.0031515565630476578,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,beginning,[87],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-20,-0.36317218906532917,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,beginning,[87],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-21,-0.9709693388960143,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,beginning,[87],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
