date,data,stationary,det_lin_up,det_lin_down,det_quad,det_cubic,det_exp,det_damped,stoc_trend,volatility,single_seas,multiple_seas,point_anom_single,point_anom_multi,collect_anom,context_anom,mean_shift,var_shift,trend_shift,point_anom_count,point_anom_location,point_anom_point,collect_anom_count,collect_anom_location,collect_anom_start,collect_anom_end,context_anom_start,context_anom_end,mean_shift_count,mean_shift_location,mean_shift_point,variance_shift_count,variance_shift_location,variance_shift_points,trend_shift_count,trend_shift_location,trend_shift_points,trend_shift_type,is_multi_characteristic,characteristic_1_type,characteristic_2_type,is_point_anomaly_active,is_collective_anomaly_active,is_contextual_anomaly_active,is_mean_shift_active,is_variance_shift_active,is_trend_shift_active,is_linear_trend_active,is_quadratic_trend_active,is_cubic_trend_active,is_exponential_trend_active,is_damped_trend_active,is_single_seasonality_active,is_multiple_seasonality_active,is_seasonal_base_active,is_stochastic_base_active,is_volatility_base_active
2020-01-01,-0.14700261055809838,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[138],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-02,-0.33132736661280965,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[138],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-03,-0.9547251835491454,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[138],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04,0.2942655463603382,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[138],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-05,0.13721625374435578,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[138],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-06,0.05082195659182163,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[138],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-07,-0.9798325123265139,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[138],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-08,0.424124570323671,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[138],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-09,-0.9147155899246426,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[138],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-10,1.1404861538982165,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[138],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-11,0.004459849478488545,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[138],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-12,-0.8511878155415628,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[138],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-13,0.28934192013518373,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[138],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-14,0.018157763574618714,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,middle,[138],0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomaly,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
